value,type,first_seen,last_seen,status,confidence,n_sources,stories
138.226.246.94,ipv4,2026-06-19,2026-06-22,expired,corroborated,3,klue-oauth-breach-9-cybersecurity-firms-disclose-impact-icarus-s;klue-oauth-breach-icarus-extortion-group-steals-salesforce-data;klue-oauth-breach-victim-list-grows-huntress-confirms-data-theft
212.86.125.24,ipv4,2026-06-19,2026-06-22,expired,corroborated,3,klue-oauth-breach-9-cybersecurity-firms-disclose-impact-icarus-s;klue-oauth-breach-icarus-extortion-group-steals-salesforce-data;klue-oauth-breach-victim-list-grows-huntress-confirms-data-theft
213.111.148.90,ipv4,2026-06-19,2026-06-22,expired,corroborated,3,klue-oauth-breach-9-cybersecurity-firms-disclose-impact-icarus-s;klue-oauth-breach-icarus-extortion-group-steals-salesforce-data;klue-oauth-breach-victim-list-grows-huntress-confirms-data-theft
94.154.32.160,ipv4,2026-06-19,2026-06-22,expired,corroborated,3,klue-oauth-breach-9-cybersecurity-firms-disclose-impact-icarus-s;klue-oauth-breach-icarus-extortion-group-steals-salesforce-data;klue-oauth-breach-victim-list-grows-huntress-confirms-data-theft
1.0.2.0,ipv4,2026-08-10,2026-08-10,active,reported,1,ibm-security-advisory-av26-789
104.207.144.154,ipv4,2026-05-30,2026-05-30,expired,reported,1,pan-os-cve-2026-0257-cisa-kev-globalprotect-authentication-bypas
11.1.0.2,ipv4,2026-08-10,2026-08-10,active,reported,1,dell-security-advisory-av26-788
11.136.0.9,ipv4,2026-05-11,2026-05-11,expired,reported,1,cpanel-cve-2026-29201-29202-29203-details-emerge-on-perl-injecti
12.6.1.1,ipv4,2026-05-08,2026-05-08,expired,reported,1,ivanti-epmm-zero-day-cve-2026-6973-actively-exploited-850-instan
12.7.0.1,ipv4,2026-05-08,2026-05-08,expired,reported,1,ivanti-epmm-zero-day-cve-2026-6973-actively-exploited-850-instan
12.8.0.0,ipv4,2026-05-08,2026-05-09,expired,reported,1,ivanti-epmm-zero-day-cve-2026-6973-actively-exploited-850-instan
12.8.0.1,ipv4,2026-05-08,2026-05-08,expired,reported,1,ivanti-epmm-zero-day-cve-2026-6973-actively-exploited-850-instan
142.11.206.73,ipv4,2026-05-06,2026-05-06,expired,reported,1,axios-npm-supply-chain-compromise-delivered-cross-platform-rat-t
144.208.127.155,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
146.19.216.119,ipv4,2026-05-30,2026-05-30,expired,reported,1,pan-os-cve-2026-0257-cisa-kev-globalprotect-authentication-bypas
158.94.211.76,ipv4,2026-06-03,2026-06-03,expired,reported,1,js-monoglyphrat-new-javascript-backdoor-via-fake-purchase-orders
162.33.177.101,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
176.123.4.44,ipv4,2026-05-25,2026-05-25,expired,reported,1,storm-2949-attack-chain-fully-documented-azure-rbac-abuse-key-va
18.0.79.5,ipv4,2026-08-10,2026-08-10,active,reported,1,webpros-security-advisory-av26-790
18.0.80.1,ipv4,2026-08-10,2026-08-10,active,reported,1,webpros-security-advisory-av26-790
185.241.208.243,ipv4,2026-05-25,2026-05-25,expired,reported,1,storm-2949-attack-chain-fully-documented-azure-rbac-abuse-key-va
192.236.147.131,ipv4,2026-06-06,2026-06-06,expired,reported,1,unc3753-luna-moth-targets-us-law-firms-with-vishing-physical-off
192.236.147.138,ipv4,2026-06-06,2026-06-06,expired,reported,1,unc3753-luna-moth-targets-us-law-firms-with-vishing-physical-off
193.141.60.212,ipv4,2026-06-06,2026-06-06,expired,reported,1,unc3753-luna-moth-targets-us-law-firms-with-vishing-physical-off
195.201.194.107,ipv4,2026-05-29,2026-05-29,expired,reported,1,microsoftsystem64-npm-supply-chain-attack-abuses-huggingface-for
2.25.21.73,ipv4,2026-05-27,2026-05-27,expired,reported,1,zero-click-whatsapp-account-takeover-cve-2025-43300-cve-2025-551
2.9.99.5,ipv4,2026-06-17,2026-06-17,expired,reported,1,joomla-cve-2026-48907-and-litespeed-cve-2026-54420-vulnerabiliti
202.56.2.126,ipv4,2026-06-04,2026-06-04,expired,reported,1,everest-forms-pro-cve-2026-3300-cvss-9-8-unauthenticated-rce-act
